Custodian_Identifier|Customer_Identifier|Fund_Identifier|Mark_to_Market_Value|Market_Value|Period_Date|Position_Identifier|Position_Type|Security_Identifier|Cost|YTD GL
|1|10035918|0|0|3/31/2023|1040965263||1040965263|0|0
|1|10035918|0|0|3/31/2023|1040754595||1040754595|0|0
|1|10035918|0|0|3/31/2023|1040987106||1040987106|0|0
|1|10035918|0|0|3/31/2023|1040803109||1040803109|0|0
|1|10035918|0|0|3/31/2023|1041004531||1041004531|0|0
|1|10035918|0|0|3/31/2023|1040823145||1040823145|0|0
|1|10035918|0|0|3/31/2023|1041067296||1041067296|0|0
|1|10035918|0|0|3/31/2023|1040828745||1040828745|0|0
|1|10035918|0|0|3/31/2023|1041067366||1041067366|0|0
|1|10035918|0|0|3/31/2023|1040928397||1040928397|0|0
|1|10035918|0|0|3/31/2023|1040987107||1040987107|0|0
|1|10035918|0|0|3/31/2023|1041140961||1041140961|0|0
|1|10035918|0|0|3/31/2023|1041230800||1041230800|0|0
|1|10035918|0|0|3/31/2023|1041316991||1041316991|0|0
|1|10035918|0|0|3/31/2023|1041317093||1041317093|0|0
|1|10035918|0|0|3/31/2023|1041382263||1041382263|0|0
|1|10035918|0|0|3/31/2023|1041413320||1041413320|0|0
|1|10035918|0|0|3/31/2023|1040506407||1040506407|0|0
|1|10035918|0|0|3/31/2023|1040506408||1040506408|0|0
|1|10035918|0|0|3/31/2023|1040704997||1040704997|0|0
|1|10035918|0|0|3/31/2023|1040880679||1040880679|0|0
|1|10035918|0|0|3/31/2023|1040950349||1040950349|0|0
|1|10035918|0|0|3/31/2023|1041028723||1041028723|0|0
|1|10035918|0|0|3/31/2023|1041028724||1041028724|0|0
|1|10035918|0|0|3/31/2023|1041041515||1041041515|0|0
|1|10035918|0|0|3/31/2023|1041157554||1041157554|0|0
|1|10035918|0|0|3/31/2023|1041289040||1041289040|0|0
|1|10035918|0|0|3/31/2023|1038085091||1038085091|0|0
|1|10035918|21278.27|21278.27|3/31/2023|1038211161|Long|1038211161|0|199.06
|1|10035918|0|0|3/31/2023|1040831002||1040831002|0|0
|1|10035918|0|0|3/31/2023|1040611333||1040611333|0|0
|1|10035918|0|0|3/31/2023|1038211162||1038211162|0|0
|1|10035918|0|0|3/31/2023|1040741472||1040741472|0|0
|1|10035918|0|0|3/31/2023|1041397945||1041397945|0|0
|1|10035918|0|0|3/31/2023|1040950461||1040950461|0|0
|1|10035918|0|0|3/31/2023|1040366583||1040366583|0|0
|1|10035918|0|0|3/31/2023|1040880621||1040880621|0|0
|1|10035918|0|0|3/31/2023|1041837348||1041837348|0|0
|1|10035918|0|0|3/31/2023|1041028726||1041028726|0|0
|1|10035918|0|0|3/31/2023|1040575475||1040575475|0|0
|1|10035918|0|0|3/31/2023|1041246059||1041246059|0|0
|1|10035918|0|0|3/31/2023|1040910866||1040910866|0|0
|1|10035918|0|0|3/31/2023|1041317210||1041317210|0|0
|1|10035918|0|0|3/31/2023|1040845711||1040845711|0|0
|1|10035918|0|0|3/31/2023|1041437417|Short|1041437417|0|0
